#;f1;f2;f3;s11;s12;s13;x1;s21;s22;s23;x2;s31;s32;s33;x3
1;6.598597275646386;8.202386885843481;6.334175088980144;38.3;38.35;38.35;26.73333333333333;20;75;20;45.08333333333334;21.9;21.9;71.2;43.18333333333334
2;7.236126101937416;6.176142227942465;7.66464792790354;115;1.424999999999997;-1.425000000000004;50;35;40;40;13.80833333333333;0;0;115;51.19166666666666
3;8.925081723409566;5.282409744769138;6.520487965487714;89;-15.75;41.75;48;35;40;40;9.75;20;5;90;57.25
4;6.953187790204177;7.179882125138429;7.015661922867333;95;-11.25;31.25;66.47916666666667;67;24;24;0.1041666666666667;37.4375;-12.4375;90;48.41666666666666
5;7.054092433402215;7.792086617939607;6.265421135481704;105;-11.5625;21.5625;49.33333333333334;20;75;20;26.8125;23;17;75;38.85416666666666
6;7.650495831921621;7.528651536253801;5.902051629673926;90;11.75;13.25;44.33333333333334;20;75;20;34.58333333333334;23;17;75;36.08333333333334
7;8.0660257144119;6.769388905841592;6.27860467414704;93;10.25;11.75;54.10416666666666;41;50;24;25.64583333333333;28.3125;16.6875;70;35.25
8;6.472330674913192;6.673713197150423;7.896813895422001;90;5.671875;19.328125;49.8125;41;49;25;12.078125;18.4375;-18.4375;115;53.109375
9;6.958047480183431;8.536547783284588;4.982198362938734;95;-17.359375;37.359375;40;0;115;0;40.88020833333334;25;25;65;34.11979166666666
10;7.031532622389641;8.873339480075352;4.989884924070966;90;31.25;-6.25;38.33333333333334;0;115;0;57.08333333333334;25;25;65;19.58333333333333
11;7.073740703077327;7.722504115301732;6.149738389215936;80;36.25;-1.25;26.66666666666667;0;115;0;50.41666666666666;0;0;115;37.91666666666666
12;7.109657622389642;7.747899966583097;6.15186505121865;70;22.5;22.5;23.33333333333333;0;115;0;45.83333333333334;0;0;115;45.83333333333334
13;7.005577785172864;7.948639469057214;6.151049259345505;80;17.5;17.5;26.66666666666667;0;115;0;44.16666666666666;0;0;115;44.16666666666666
14;6.371508319875257;8.00498122522929;6.544762349190252;83;16;16;30.16666666666667;7.5;100;7.5;38.66666666666666;0;0;115;46.16666666666666
15;7.197725608979718;8.104585954688174;5.75384788556123;40;31.875;43.125;25.83333333333333;12.5;90;12.5;48.95833333333334;25;25;65;40.20833333333334
16;8.170542560392864;8.048441207989868;4.37324468256798;90;21.875;3.125;50;35;50;30;32.29166666666666;25;25;65;32.70833333333334
17;7.318693246684726;7.586728465680106;6.182493706168115;90;7.5;17.5;31.92708333333333;35;50;30;0.5729166666666666;-29.21875;-55.78125;200;82.5
18;7.189131858979719;7.804551975981434;6.142662701848745;90;5.78125;19.21875;51.66666666666666;35;50;30;28.59375;30;30;55;34.73958333333334
19;7.238787539644242;7.363328982649181;6.593441094236379;90;11.25;13.75;50;40;40;35;27.08333333333333;20;30;65;37.91666666666666
20;7.265135895016202;7.387734478532142;6.548996649791935;80;10;25;46.66666666666666;40;40;35;23.33333333333333;20;20;75;45
21;7.177427168020874;7.536878377574012;6.414884924070967;80;5;30;45;40;50;25;25;15;20;80;45
22;6.965102617236902;7.414285083194984;6.706992239644045;75;11.25;28.75;41.66666666666666;25;75;15;35.41666666666666;25;20;70;37.91666666666666
23;6.657600047203662;6.075;8.016964099741124;80;20;15;43.33333333333334;50;15;49.375;11.66666666666667;0;0;115;59.79166666666666
24;7.211027358488577;6.210583663821609;7.49725778330534;90;-15;40;42.5;37.5;15;62.5;0;0;0;115;72.5
25;6.106975926607786;5.584368790693572;6.293390692102608;80;-15;50;35;25;70;10;18.33333333333333;0;0;115;58.33333333333334
26;6.218185147521772;5.104178005103414;6.760897196941673;80;3.75;31.25;28.33333333333333;0;0;0;4.583333333333333;5;10;90;40.41666666666666
27;5.264018480855104;6.832750021456807;8.762242331525792;70;2.5;42.5;23.33333333333333;0;0;0;0.8333333333333334;0;0;115;52.5
28;6.502156088682209;6.13000335282944;8.224455882029487;70;0;45;23.33333333333333;0;50;65;16.66666666666667;0;0;115;75
29;6.376942442842844;6.226014950587329;8.533564799929502;80;-15;50;36.66666666666666;30;30;55;5;0;0;115;73.33333333333333
30;6.341033591294542;8.046885487156223;6.811454429496841;90;-22.5;47.5;30;0;115;0;34.16666666666666;0;10;105;50.83333333333334
31;6.940621612465318;6.183138767099921;7.859116677872808;80;22.5;12.5;38.33333333333334;35;30;50;22.5;0;15;100;54.16666666666666
32;-9993.650488112713;-10000.16579861111;7.055329808341318;80;-8.75;43.75;41.66666666666666;35;30;50;7.083333333333333;10;0;105;66.25
33;6.45294109423638;5.386334067958277;6.32713073886366;80;-13.75;48.75;30;0;0;0;-1.25;10;10;95;47.91666666666666
34;-9993.616902287875;-9999.485527777777;6.515095861957365;100;-10;25;37;0;0;0;0.3333333333333333;11;11;93;39.33333333333334
35;6.020378285106416;6.46152422754406;5.807462611153446;95;-10.5;30.5;31.66666666666667;0;0;0;-3.5;0;0;115;48.5
36;6.812135895016201;6.575020916159048;6.251416247377466;95;0;20;32.33333333333334;0;0;0;10;2;30;83;34.33333333333334
37;6.834580339460645;7.335583663821611;7.018291463470192;95;1;19;45;40;20;40;7;0;0;70;43
38;7.072120872977575;6.769169651446681;7.294425884658994;80;20;15;45;40;20;55;18.33333333333333;15;15;85;51.66666666666666
39;7.431126158259734;6.13457403641066;6.946119550949274;80;10;25;46.66666666666666;40;20;55;13.33333333333333;20;10;85;55
40;7.474903936037512;6.564836318113348;7.069387667058296;78;10;27;49.33333333333334;45;2;45;7.333333333333333;25;10;80;50.66666666666666
41;6.626048192965159;5.91591019889972;8.279627346140725;78;5;32;49.33333333333334;45;25;44;13.33333333333333;25;10;80;52
42;6.926077141140342;-9999.882638888888;-9993.57761972032;80;5;30;41.08333333333334;20;25;70;2.25;23.25;-23.25;115;71.66666666666667
43;6.836878310904432;4.99790647422377;6.383150879840656;80;5;30;32.5;0;0;0;-4.166666666666667;17.5;-17.5;115;48.33333333333334
