Game;time;subject;group;grsubject;type;gain;penalty;x;s1;s2;s3;s4;s5;AcceptAdvice;CalcCount;CalcAdviceCount
36;1;1;1;1;9;6,380836472;-0,4031;26,73333333;38,3;38,35;38,35;;;1;0;0
36;1;2;1;2;25;8,137016403;0,2345625;45,08333333;20;75;20;;;1;0;0
36;1;3;1;3;1;6,478516986;0,1685375;43,18333333;21,9;21,9;71,2;;;1;0;0
36;2;1;1;1;9;6,598597276;1,082548472;50;115;1,425;-1,425;;;1;1;12
36;2;2;1;2;25;8,202386886;-1,972753403;13,80833333;35;40;40;;;0;1;0
36;2;3;1;3;1;6,334175089;0,890204931;51,19166667;0;0;115;;;0;2;0
36;3;1;1;1;9;7,236126102;0,313708333;48;89;-15,75;41,75;;;1;0;14
36;3;2;1;2;25;6,176142228;-0,281229167;9,75;35;40;40;;;0;0;0
36;3;3;1;3;1;7,664647928;-0,032479167;57,25;20;5;90;;;0;5;0
36;4;1;1;1;9;8,925081723;-0,237207031;66,47916667;95;-11,25;31,25;;;1;0;9
36;4;2;1;2;25;5,282409745;-0,272003906;0,104166667;67;24;24;;;0;0;0
36;4;3;1;3;1;6,520487965;0,509210938;48,41666667;37,4375;-12,4375;90;;;1;4;7
36;5;1;1;1;9;6,95318779;0,684438368;49,33333333;105;-11,5625;21,5625;;;1;0;11
36;5;2;1;2;25;7,179882125;0,018207899;26,8125;20;75;20;;;0;0;0
36;5;3;1;3;1;7,015661923;-0,702646267;38,85416667;23;17;75;;;0;14;6
36;6;1;1;1;9;7,054092433;0,248875;44,33333333;90;11,75;13,25;;;1;0;8
36;6;2;1;2;25;7,792086618;-0,0730625;34,58333333;20;75;20;;;0;0;0
36;6;3;1;3;1;6,265421135;-0,1758125;36,08333333;23;17;75;;;0;2;0
36;7;1;1;1;9;7,650495832;0,293317274;54,10416667;93;10,25;11,75;;;1;3;10
36;7;2;1;2;25;7,528651536;-0,412062934;25,64583333;41;50;24;;;0;0;0
36;7;3;1;3;1;5,90205163;0,11874566;35,25;28,3125;16,6875;70;;;1;0;1
36;8;1;1;1;9;8,066025714;-0,397094889;49,8125;90;5,671875;19,328125;;;1;0;2
36;8;2;1;2;25;6,769388906;-0,680207926;12,078125;41;49;25;;;0;0;0
36;8;3;1;3;1;6,278604674;1,077302816;53,109375;18,4375;-18,4375;115;;;1;1;1
36;9;1;1;1;9;6,472330675;0,527669325;40;95;-17,359375;37,359375;;;1;0;3
36;9;2;1;2;25;6,673713197;1,442949192;40,88020833;0;115;0;;;0;0;1
36;9;3;1;3;1;7,896813895;-1,970618517;34,11979167;25;25;65;;;0;3;6
36;10;1;1;1;9;6,95804748;-0,078125;38,33333333;90;31,25;-6,25;;;1;0;3
36;10;2;1;2;25;8,536547783;0,5234375;57,08333333;0;115;0;;;0;0;0
36;10;3;1;3;1;4,982198363;-0,4453125;19,58333333;25;25;65;;;0;0;0
36;11;1;1;1;9;7,031532622;-1,059375;26,66666667;80;36,25;-1,25;;;1;0;4
36;11;2;1;2;25;8,87333948;-0,1890625;50,41666667;0;115;0;;;0;0;0
36;11;3;1;3;1;4,989884924;1,2484375;37,91666667;0;0;115;;;0;1;0
36;12;1;1;1;9;7,073740703;-1,3875;23,33333333;70;22,5;22,5;;;1;2;9
36;12;2;1;2;25;7,722504115;0,69375;45,83333333;0;115;0;;;0;0;0
36;12;3;1;3;1;6,149738389;0,69375;45,83333333;0;0;115;;;0;3;0
36;13;1;1;1;9;7,109657622;-1,1375;26,66666667;80;17,5;17,5;;;1;0;4
36;13;2;1;2;25;7,747899967;0,56875;44,16666667;0;115;0;;;0;0;0
36;13;3;1;3;1;6,151865051;0,56875;44,16666667;0;0;115;;;0;1;0
36;14;1;1;1;9;7,005577785;-0,74725;30,16666667;83;16;16;;;1;0;6
36;14;2;1;2;25;7,948639469;0,0305;38,66666667;7,5;100;7,5;;;0;0;0
36;14;3;1;3;1;6,151049259;0,71675;46,16666667;0;0;115;;;0;1;0
36;15;1;1;1;9;6,37150832;-0,46953125;25,83333333;40;31,875;43,125;;;1;0;3
36;15;2;1;2;25;8,004981225;0,594921875;48,95833333;12,5;90;12,5;;;0;7;1
36;15;3;1;3;1;6,544762349;-0,125390625;40,20833333;25;25;65;;;0;1;0
